painting,emotion
alphonse-mucha_standing-figure,amusement
katsushika-hokusai_kuwana-4,sadness
giorgione_portrait-of-young-man-giustiniani-portrait-1504(2),sadness
amedeo-modigliani_frans-hellens-1919,sadness
bradley-walker-tomlin_number-14-1949,awe
agostino-carracci_studies-of-the-carracci-figure,amusement
alfred-sisley_landscape-at-louveciennes,contentment
henri-edmond-cross_the-blue-boat,contentment
andy-warhol_self-portrait-in-drag-1982,fear
edward-burne-jones_the-escape-of-perseus-1888,fear
anna-ostroumova-lebedeva_petersburg-rostral-column-under-the-snow-1909,sadness
alfred-sisley_loing-at-moret-in-the-rain-1888,contentment
charles-hinman_pinwheel-1964,amusement
brice-marden_untitled-from-12-views-for-caroline-tatyana-1979,contentment
alexey-zubov_boat-of-peter-i-1722,contentment
alfred-stevens_the-paris-sfinks-1867,awe
giorgione_youth-holding-an-arrow-1505(2),sadness
katsushika-hokusai_porcelain-pot-with-open-fan,contentment
aelbert-cuyp_ubbergen-castle-1655,awe
charles-hinman_intersection-1965,amusement
john-miller_anjuna-beach-goa,sadness
edward-burne-jones_sleeping-beauty-1871,contentment
arman_absolut-arman,amusement
el-greco_st-john-the-baptist-1579,sadness
augustus-john_bather-in-the-welsh-mountains-1913,contentment
andy-warhol_vesuvius-1,fear
alfred-sisley_forge-at-marly-le-roi-1875,disgust
john-miller_estuary,contentment
aleksey-antropov_portrait-of-a-mistress-agrippina-leontyevna-apraksina,disgust
henri-edmond-cross_toulon-winter-morning-1907,contentment
alfred-sisley_l-etang-de-chevreuil,contentment
arthur-segal_flori-de-salcie-1909,sadness
brice-marden_the-seasons-1975,excitement
bernardo-bellotto_fortress-of-sonnenstein-above-pirna-1756,contentment
alexey-bogolyubov_bolshaya-neva-1872,contentment
jamie-wyeth_the-red-house-1972,fear
alfred-sisley_flood-at-port-marly-1876,contentment
edith-vonnegut_catching-the-bus,amusement
jamie-wyeth_the-thief-1996,awe
alfred-sisley_flood-at-port-marly-1872,awe
felicien-rops_at-a-dinner-of-atheists,fear
henri-matisse_place-des-lices-st-tropez-1904,contentment
john-miller_beach(3),awe
aleksey-savrasov_tomb-of-the-volga-1871,contentment
auguste-herbin_mill-at-saint-b-nin,excitement
brice-marden_untitled-1973,amusement
benozzo-gozzoli_tabernacle-of-the-madonna-delle-tosse-assumption-of-the-virgin,awe
amedeo-modigliani_girl-in-blue-1919,sadness
alfred-stevens_portrait-of-m-l-bion-1892,contentment
corneliu-michailescu_still-life-with-grapes-and-carafe,contentment
bernardo-bellotto_lagoon-landscape-1741,fear
david-burliuk_to-get-one-kiss-he-uses-two-keys,amusement
arturo-souto_beached-boats,contentment
arshile-gorky_the-artist-with-his-mother-1936,sadness
barnett-newman_voice-of-fire-1967,contentment
aleksey-savrasov_view-of-the-kremlin-from-the-krimsky-bridge-in-inclement-weather-1851,fear
jamie-wyeth_winter-pig-1975,sadness
john-french-sloan_spanish-girl-fur-hat-red-coat-1909,excitement
bradley-walker-tomlin_number-15-1953,disgust
giorgione_the-flute-player-1510(2),amusement
edward-burne-jones_not_detected_205445,sadness
alfred-stevens_study-of-the-role,awe
bernardo-bellotto_the-schloss-hof-garden-side-1758,awe
brett-whiteley_the-cat-1980,contentment
benozzo-gozzoli_death-and-ascention-of-st-francis,sadness
anna-ostroumova-lebedeva_french-embankment,contentment
el-greco_st-john-the-evangelist,fear
andy-warhol_tatum-o-neal-1987,contentment
katsushika-hokusai_orange-orchids,contentment
felicien-rops_sex-is-like-god,fear
aleksey-savrasov_winter-landscape-thaw,contentment
aleksey-savrasov_summer-landscape-with-oaks-1850,contentment
ben-nicholson_20-april-1979-vertical-stripe-1979,excitement
dan-flavin_untitled-to-my-dear-bitch-airily-1981,excitement
giovanni-antonio-boltraffio_saint-sebastian,sadness
fikret-mualla-saygi_unknown-title-13,excitement
giorgione_the-sleeping-venus-1510(2),excitement
claude-viallat_untitled-no-34-1999,amusement
henri-matisse_notre-dame-sunrise-1902,sadness
benozzo-gozzoli_st-monica-1465,contentment
arturo-souto_the-pantheon-seen-from-rue-soufflot-paris-1941,contentment
auguste-herbin_mill-on-the-marn-creteil-1911,contentment
edvard-munch_the-three-stages-of-woman-sphinx-1894,excitement
henri-martin_the-child-with-goose,contentment
alfred-sisley_cow-pasture-near-louveciennes-1875,contentment
amedeo-modigliani_portrait-of-a-woman-1919,fear
barnett-newman_uriel-1955,contentment
katsushika-hokusai_kuwana-3,amusement
anna-ostroumova-lebedeva_debacle-1922,sadness
benozzo-gozzoli_madonna-and-child-enthroned-among-st-benedict-st-scholastica-st-ursula-and-st-john-gualberto,contentment
alfred-sisley_cornfield-1873,contentment
el-greco_the-last-supper,sadness
aleksey-savrasov_volga-1870,contentment
katsushika-hokusai_moonlight-over-the-sumida-river-in-edo,contentment
alfred-stevens_woman-wearing-a-bracelet,contentment
john-french-sloan_the-effect-is-spoiled-1915,contentment
carlos-merida_la-endecha,amusement
henri-martin_the-lovers,contentment
auguste-herbin_the-oise-at-vadencourt-1912,awe
giovanni-antonio-boltraffio_portrait-of-a-youth-holding-an-arrow-1510,sadness
asgrimur-jonsson_autumn-at-thingvellir-1949,contentment
edward-burne-jones_the-garden-court-study,sadness
aleksey-savrasov_the-death-of-the-ship-at-sea-1862,fear
alfred-stevens_a-young-girl-seated-by-a-tree,contentment
benozzo-gozzoli_procession-of-the-magus-balthazar-detail-1461-2,excitement
john-french-sloan_stein-profile-foreign-girl-1905,sadness
el-greco_st-joseph-and-the-christ-child-1599,fear
amedeo-modigliani_paul-guillaume-1916,amusement
benozzo-gozzoli_st-mark-detail-of-the-four-evangelists-1465,amusement
andy-warhol_self-portrait-camouflage-1986,amusement
el-greco_portrait-of-don-rodrigo-vasquez,fear
michael-bell_the-meadows-2010,excitement
alfred-stevens_the-glass-sphere,sadness
benjamin-west_portrait-of-prince-octavius-1783,amusement
henri-matisse_collioure-landscape-1906,contentment
david-burliuk_the-stand-1946,excitement
anna-ostroumova-lebedeva_barge-1904,contentment
alfred-sisley_edge-of-the-fountainbleau-forest-morning-1885,contentment
david-burliuk_tea-time,contentment
anna-ostroumova-lebedeva_in-the-park-1902,contentment
andrei-ryabushkin_prince-ukhtomsky-in-the-battle-with-tartars-at-volga-in-1469,excitement
brice-marden_st-barts-10-1991,excitement
katsushika-hokusai_pheasant-and-snake,excitement
david-burliuk_tea-time-with-a-white-cat,amusement
aleksey-savrasov_swiss-landscape-with-horses-1867,awe
bruce-nauman_la-brea-art-tips-rat-spit-tar-pits-1972,excitement
alfred-stevens_women-s-harp,contentment
aleksey-antropov_portrait-of-countess-m-a-rumyantzeva,contentment
bruce-nauman_good-boy-bad-boy-1985,contentment
agostino-carracci_pandora,fear
brice-marden_after-botticelli-3-1994,amusement
david-burliuk_peasant-couple,contentment
alfred-stevens_ready-for-the-ball,excitement
el-greco_portrait-of-an-elder-nobleman,fear
bui-xuan-phai_abstract(6),excitement
bernardo-bellotto_the-old-market-square-in-dresden,awe
dosso-dossi_the-three-ages-of-man-1515,amusement
brice-marden_return-i-1965,sadness
alphonse-mucha_portrait-of-jaroslava,sadness
alfred-stevens_reverie,contentment
dosso-dossi_the-virgin-appearing-to-saints-john-the-baptist-and-john-the-evangelist-1520,awe
felicien-rops_the-sacrifice-from-the-satanic-ones,awe
anna-ostroumova-lebedeva_landscape-around-the-viscontiev-bridge-1923,contentment
arshile-gorky_pears-peaches-and-pitcher-1927,contentment
amedeo-modigliani_le-grand-nu-the-great-nude-1917,awe
aleksey-savrasov_the-old-churchyard-on-the-banks-of-the-volga-1874,contentment
felicien-rops_little-model,excitement
audrey-flack_world-war-ii-vanitas-1977,awe
asgrimur-jonsson_autumn-sunlight-skjuhl-1920,contentment
john-french-sloan_the-new-blue-dress-1913,sadness
amedeo-modigliani_landscape,contentment
john-french-sloan_professional-nurse,contentment
david-burliuk_tea-time-1946,amusement
alfred-sisley_lane-of-poplars-on-the-banks-of-the-loing-1892,contentment
andy-warhol_untitled-red-boot-wit-holly,amusement
andy-warhol_truck-announcement-2,excitement
henri-martin_lot-landscape-1890,contentment
edvard-munch_the-mystery-of-a-summer-night-1892,contentment
blinky-palermo_untitled-1964,amusement
benozzo-gozzoli_madonna-della-cintola,awe
alfred-sisley_july-afternoon-near-the-forest-1887,contentment
felicien-rops_my-aunt-johanna,sadness
ben-nicholson_pisa-as-intended-1967,amusement
felicien-rops_appeal-to-the-masses,excitement
janet-fish_white-tulips-1999,excitement
fikret-mualla-saygi_unknown-title-12,sadness
henri-martin_the-house-of-sabotier,contentment
charles-hinman_docking-in-space-1970,excitement
alfred-sisley_ferry-to-the-ile-de-la-loge-flood-1872,contentment
katsushika-hokusai_shimomeguro,contentment
agostino-carracci_penitent-magdalene,sadness
jamie-wyeth_twin-houses-1969,sadness
bridget-riley_achean-1981,excitement
bernardo-bellotto_ruins-of-dresden-s-kreuzkirche-1765,sadness
diego-rivera_the-maize-festival-1924,disgust
fikret-mualla-saygi_unknown-title-6,anger
edward-burne-jones_balthazar,fear
el-greco_st-francis-praying-1595,sadness
el-greco_the-visitation,awe
amedeo-modigliani_lunia-czechovska-1919,amusement
alfred-sisley_landscape-at-sevres-1878,contentment
john-french-sloan_our-red-cottage-gloucester-1916,contentment
bui-xuan-phai_abstract,amusement
andy-warhol_red-race-riot,sadness
alfred-sisley_church-of-moret-1893-1,awe
felicien-rops_the-row,excitement
carlos-merida_el-verano-1981,excitement
janet-fish_coffee-cake-2003,excitement
jamie-wyeth_the-pickup-2008,contentment
brice-marden_letter-with-red-2009,anger
katsushika-hokusai_honjo-tatekawa-the-timberyard-at-honjo,anger
felicien-rops_gozo-hermafrodita,anger
claude-viallat_untitled-no-56-1996,excitement
bradley-walker-tomlin_green-1948,anger
bernardo-bellotto_the-election-of-the-king-stanislaus-augustus-1764,awe
amedeo-modigliani_lunia-czechowska-1919,sadness
amedeo-modigliani_portrait-of-a-woman,sadness
aleksey-antropov_portrait-of-an-unknown-woman-1790,awe
benozzo-gozzoli_st-augustine-reading-rhetoric-and-philosophy-at-the-school-of-rome-detail-1465,fear
carlos-saenz-de-tejada_illustration-for-carmen-1932,disgust
el-greco_the-resurrection,fear
alphonse-mucha_the-west-end-review-1898,excitement
cy-twombly_untitled-2,anger
bruce-nauman_collection-of-various-flexible-materials-separated-by-layers-of-grease-with-holes-the-size-of-1966,awe
giovanni-antonio-boltraffio_st-barbara-1499,contentment
brice-marden_don-t-bungle-the-jungle-1989,anger
david-burliuk_russian-man-on-sled-pulled-by-horse,amusement
david-burliuk_woman-with-horse,sadness
billy-apple_big-mouth,disgust
katsushika-hokusai_not_detected_223528(2),fear
anna-ostroumova-lebedeva_colonnade-of-exchange-and-peter-and-paul-fortress-1907,contentment
carlos-merida_faces,disgust
aleksey-savrasov_sundown-over-a-marsh-1871,contentment
henri-martin_playing-pipes-to-the-setting-sun-1898,amusement
edvard-munch_young-woman-on-the-shore-1896,sadness
diego-rivera_indian-spinning,contentment
katsushika-hokusai_not_detected_223504(1),disgust
benozzo-gozzoli_st-augustine-departing-for-milan-detail-1465-1,disgust
alexey-venetsianov_young-man-in-spanish-dress,contentment
edvard-munch_moonlight-1893,fear
amedeo-modigliani_monsieur-lepoutre-1916,fear
clyfford-still_1950-k-no-1-1950,excitement
brice-marden_letter-about-rocks-3-blue-ground-2010,anger
ben-nicholson_feb-55-1955,excitement
andy-warhol_mickey,excitement
andy-warhol_muhammad-ali-2,sadness
arturo-souto_portrait-of-vera-mayer-1952,contentment
john-french-sloan_sunlit-peak-santa-fe-canyon-1920,awe
auguste-herbin_house-at-the-water-1905,contentment
eliseu-visconti_esperan-a-sonho-mistico,contentment
el-greco_st-francis-s-vision-of-the-flaming-torch,awe
felicien-rops_death-at-the-ball,fear
alfred-stevens_woman-with-a-japanese-doll-1894,amusement
henri-edmond-cross_the-wreck,awe
carlos-merida_the-prodigal-son-1973,amusement
arshile-gorky_portrait-of-azadoohi-liberty-miller,sadness
katsushika-hokusai_lilly,contentment
alphonse-mucha_the-coronation-of-the-serbian-tsar-stepan-dusan-as-east-roman-emperor-1926,awe
giorgione_the-holy-family-madonna-benson-1500(2),awe
alfred-stevens_what-is-called-vagrancy-or-the-hunters-of-vincennes-1854,sadness
aleksey-savrasov_strongly-melts-1894,sadness
amedeo-modigliani_jeanne-hebuterne-with-necklace-1917,amusement
john-french-sloan_nude-four-senses-1929,amusement
andy-warhol_orange-disaster,fear
bernardo-bellotto_capriccio-with-the-colosseum,sadness
amedeo-modigliani_louise-1917,sadness
benozzo-gozzoli_saint-ursula-with-angels-and-donor-detail,awe
felicien-rops_the-hanged-man-at-the-bell-illustration-for-the-legend-of-thyl-ulenspiegel-and-lamme-goedzak-by,fear
bernardo-bellotto_capriccio-padovano,contentment
benjamin-west_the-death-of-general-wolfe-1770,sadness
benozzo-gozzoli_overall-view-of-the-tabernacle-of-the-madonna-delle-tosse,awe
el-greco_the-agony-in-the-garden,awe
andy-warhol_pia-zadora-1980,contentment
bernardo-bellotto_the-arch-of-constantine-1742,awe
aleksey-antropov_portrait-of-tsar-peter-i-the-great-1672-1725-1772,excitement
henri-matisse_moroccan-caf-1913,contentment
benozzo-gozzoli_dream-of-innocent-iii-and-the-confirmation-of-the-rule,awe
katsushika-hokusai_shoki-riding-a-shishi-lion,excitement
daniel-buren_papiers-coll-s-blanc-et-vert-1969,disgust
william-james-glackens_dancer-in-a-pink-dress-1902,amusement
giovanni-antonio-boltraffio_madonna-and-child-1500,awe
alfred-stevens_the-studio-1869,awe
amedeo-modigliani_pink-blouse-1919,sadness
edith-vonnegut_joy,disgust
alexey-bogolyubov_alley-in-the-park-liechtenstein-1889,contentment
dosso-dossi_diana-and-calisto-1528,sadness
anna-ostroumova-lebedeva_pavlovsk-novosilviysky-bridge-1921,contentment
alfred-stevens_still-life-with-potted-geraniums,contentment
bela-kadar_still-life-with-chessboard-and-pipe-1920,amusement
amedeo-modigliani_man-with-a-pipe-the-notary-of-nice-1918,amusement
antonio-palolo_untitled-1964,awe
john-french-sloan_yeats-at-petitpas-1910,amusement
ben-nicholson_aegean-1967,anger
katsushika-hokusai_manga-11,sadness
andy-warhol_only-way-out-is-in,awe
john-french-sloan_my-wife-in-blue-1917,contentment
henri-matisse_self-portrait-in-a-striped-t-shirt-1906,disgust
el-greco_st-francis-receiving-the-stigmata-1,fear
andy-warhol_paramount,amusement
alfred-stevens_study-of-a-man,sadness
john-french-sloan_the-city-from-greenwich-village-1922,excitement
john-french-sloan_rocks-weeds-and-sea-1917,contentment
auguste-herbin_notre-dame-de-paris-1903,awe
aleksey-savrasov_thunderstorm-1856,sadness
john-french-sloan_yellow-rock-gloucester-1915,awe
auguste-herbin_dropsgezicht-1911,amusement
auguste-herbin_composition-1928,awe
el-greco_portrait-of-the-artist-s-son-jorge-manuel-theotokopoulos,contentment
amedeo-modigliani_little-girl-in-blue-1918,sadness
alexey-bogolyubov_winter-in-borisoglebsk,contentment
aelbert-cuyp_a-distant-view-of-dordrecht-with-a-milkmaid-and-four-cow-1650,awe
billy-apple_billy-apple-tm,contentment
asgrimur-jonsson_night-in-reykjav-k-1916,contentment
andy-warhol_poinsetta-1981,disgust
edward-burne-jones_the-mirror-of-venus,sadness
william-james-glackens_scene-on-the-lower-east-side,contentment
bernardo-bellotto_pirna-seen-from-the-harbour-town,contentment
el-greco_the-virgin-of-the-immaculate-conception,awe
benozzo-gozzoli_dream-of-innocent-iii-and-the-confirmation-of-the-rule-detail,fear
william-james-glackens_fruit-stand-coney-island,excitement
jamie-wyeth_pumpkinhead-self-portrait-1972,fear
edward-burne-jones_girl-s-head-1897,awe
augustus-john_david-and-caspar-1912,contentment
agostino-carracci_portrait-of-a-lutenist-portrait-of-the-musician-orazio-bassani,amusement
dan-flavin_greens-crossing-greens-to-piet-mondrian-who-lacked-green-1966,amusement
henri-matisse_nude-with-a-white-towel-1903,fear
giorgione_madonna-and-child-in-a-landscape-1504,contentment
henri-edmond-cross_the-viaduct,amusement
benozzo-gozzoli_procession-of-the-magus-balthazar-detail-1461-4,contentment
felicien-rops_sex-position-69,amusement
katsushika-hokusai_japanese-ghost,sadness
henri-matisse_cape-layet-1904,awe
cy-twombly_night-watch,disgust
aelbert-cuyp_the-maas-at-dordrecht-1650,awe
benozzo-gozzoli_descent-from-the-cross,sadness
henri-edmond-cross_the-evening-air-1894,amusement
henri-martin_the-pergola,contentment
augustus-john_brigit-macnamara-1937,amusement
alfred-sisley_loing-river-and-church-at-moret-1886,contentment
benozzo-gozzoli_preaching-to-the-birds-and-blessing-montefalco-detail,awe
benozzo-gozzoli_procession-of-the-oldest-king-1460,excitement
john-miller_late-summer-landscape,amusement
john-french-sloan_wonson-s-rocks-and-ten-pound-island-1915,contentment
john-french-sloan_pigeons-1910,awe
katsushika-hokusai_round-dish-with-scalloped-edge,excitement
henri-edmond-cross_the-wood-1907,amusement
henri-matisse_marguerite-1906,sadness
anna-ostroumova-lebedeva_petersburg-new-holland-1901,fear
el-greco_st-jerome-penitent,sadness
michael-bell_room-service-2008,sadness
john-french-sloan_nude-red-hair-standing-1928,excitement
edward-burne-jones_night-1870,sadness
john-miller_evening-beach,contentment
arturo-souto_rue-moufetard-par-s-1945,contentment
benozzo-gozzoli_tabernacle-of-the-madonna-delle-tosse-four-evangelists,awe
john-french-sloan_nude-with-red-hand-mirror-1950,contentment
benjamin-west_the-treaty-of-penn-with-the-indians-1772,disgust
michael-bell_unfinished-business-2010,disgust
katsushika-hokusai_portrait-of-a-man-of-noble-birth-with-a-book,amusement
david-burliuk_reclining-nude-in-a-landscape(1),sadness
jamie-wyeth_the-runaway-pig-1979,sadness
alfred-sisley_dawn-1878,contentment
agostino-carracci_mars-and-venus,excitement
giovanni-antonio-boltraffio_the-virgin-and-child-the-madonna-of-the-rose,contentment
amedeo-modigliani_monsier-deleu-1916,amusement
dosso-dossi_the-holy-family,awe
alfred-sisley_frost-in-louveciennes-1873,contentment
alphonse-mucha_zdenka-cerny-1913,awe
bradley-walker-tomlin_number-9-in-praise-of-gertrude-stein-1950,awe
brice-marden_white-ground-letter-2010,contentment
el-greco_st-francis-and-brother-rufus-1606,sadness
dosso-dossi_sacra-conversazione-1520,sadness
janet-fish_monkey-business-2005,excitement
henri-martin_my-house,excitement
carlos-merida_la-m-scara-m-gica-1969,anger
amedeo-modigliani_madame-pompadour-1915,anger
giorgione_two-women-and-a-man-trio-1510(2),fear
john-french-sloan_movies-five-cents-1907,excitement
auguste-herbin_composition-monumentale-1919,amusement
john-french-sloan_not-identified,contentment
bruce-nauman_five-marching-men-1985,amusement
aelbert-cuyp_panoramic-landscape-with-shepherds-sheep-and-a-town-in-the-distance-1644,contentment
alexey-venetsianov_prayer-to-our-lady-mother-for-the-pupils-smolny-1835,awe
arturo-souto_portrait-of-a-man-1945,contentment
katsushika-hokusai_oni-pelted-by-beans,fear
benozzo-gozzoli_st-sebastian-1465,disgust
david-burliuk_woman-with-wooden-bucket-and-yellow-horse,disgust
william-james-glackens_christmas-shoppers-1912,excitement
el-greco_the-virgin-of-the-immaculate-conception-1,awe
brice-marden_blunder-1969,contentment
katsushika-hokusai_manga-1,fear
anna-ostroumova-lebedeva_fiesole-italy-1904,excitement
andrei-ryabushkin_mikula-selyaninovich-illustration-for-the-book-russian-epic-heroes,fear
andy-warhol_muhammad-ali-3,excitement
henri-martin_the-hour-of-mass-in-labastide-du-vert,contentment
brice-marden_attendant-5-1999,anger
jamie-wyeth_twins-1990,fear
ben-nicholson_turkish-form-1967,amusement
brice-marden_mirabelle-addenda-2-1979,sadness
amedeo-modigliani_lunia-czechowska,sadness
carlos-merida_geometrica-en-la-forma-1951,amusement
amedeo-modigliani_nude-bust-1915,fear
amedeo-modigliani_maurice-drouard-1909,anger
arshile-gorky_staten-island,awe
arturo-souto_galicia-1963,sadness
brice-marden_untitled-from-tiles-1979,fear
blinky-palermo_ohne-titel-1977(1),amusement
felicien-rops_coquette-in-front-of-a-mirror,contentment
amedeo-modigliani_landscape-southern-france-1919,contentment
benozzo-gozzoli_st-francis-in-glory-and-saints,awe
aleksey-savrasov_summer,contentment
andy-warhol_rebel-without-a-cause,amusement
bernardo-bellotto_freyung-in-vienna-view-from-the-southeast-1758,contentment
auguste-herbin_still-life-with-oranges-1911,disgust
amedeo-modigliani_head-of-red-haired-woman-1915,fear
felicien-rops_the-hidden-side-of-a-whist-party-illustration-from-les-diaboliques-by-jules-amedee-barbey-d-1886,fear
giorgione_portrait-of-a-young-woman-laura-1506,awe
anna-ostroumova-lebedeva_the-amsterdam-port-1913,contentment
andy-warhol_untitled-superman-collage-15-1960,disgust
jamie-wyeth_the-islander-1976,awe
bernardo-bellotto_the-moat-of-the-zwinger-in-dresden,contentment
henri-edmond-cross_siesta-by-the-water,contentment
brice-marden_greece-summer-1974-2,anger
david-burliuk_soldier-on-horseback,anger
katsushika-hokusai_nihonbashi-bridge-in-edo,excitement
el-greco_vincenzo-anastagi,amusement
barnett-newman_vir-heroicus-sublimis-1950,anger
clyfford-still_ph-1033-1976,fear
katsushika-hokusai_minister-toru,fear
giorgio-vasari_allegory-of-the-immaculate-conception,awe
john-miller_estuary-i,awe
benozzo-gozzoli_death-of-st-monica-1465,sadness
barnett-newman_untitled-3-1949,anger
charles-hinman_untitled-from-the-on-the-bowery-portfolio-1969,excitement
el-greco_portrait-of-alonso-de-herrera,sadness
bernardo-bellotto_signoria-square-in-florence,awe
katsushika-hokusai_portrait-of-matsuo-basho,contentment
hans-hofmann_japanese-girl-1935,anger
bruce-nauman_raw-war-1971,fear
janet-fish_wine-and-cheese-glasses-1975,excitement
bernardo-bellotto_san-marco-square-from-the-clock-tower-facing-the-procuratie-nuove,contentment
fikret-mualla-saygi_unknown-title,excitement
amedeo-modigliani_nude-looking-over-her-right-shoulder-1917,awe
brice-marden_second-letter-zen-spring-2009,disgust
alphonse-mucha_zodiac-1896,contentment
john-french-sloan_self-portrait-pipe-and-brown-jacket-1947,contentment
agostino-carracci_the-ecstasy-of-saint-catherine-1590,contentment
benozzo-gozzoli_st-augustine-departing-for-milan-1465,anger
alexey-bogolyubov_ipatyev-monastery-near-kostroma-1861,contentment
benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461,contentment
william-james-glackens_caf-de-la-paix-1906,amusement
el-greco_portrait-of-jeronimo-de-cevallos-1613,awe
yiannis-tsaroychis_alexandras-square-in-piraeus-1962,awe
aleksey-savrasov_winter,fear
john-miller_beach(1),contentment
benjamin-west_the-ambassador-from-tunis-with-his-attendants-as-he-appeared-in-england-in-1781-1781,contentment
auguste-herbin_the-small-boat-1927,excitement
alexey-bogolyubov_battle-of-sinop,excitement
alfred-stevens_the-bath,contentment
henri-edmond-cross_the-pink-house-1905,excitement
auguste-herbin_nature-morte-la-tasse-de-caf-1926,contentment
giorgione_self-portrait(3),fear
ben-nicholson_july-27-53-ivory-1953,amusement
henri-matisse_luxembourg-gardens-1903,contentment
benozzo-gozzoli_funeral-of-st-augustine-1465,sadness
georges-braque_port-of-antwerp-1906,contentment
william-james-glackens_seated-actress-with-mirror-1903,awe
john-french-sloan_nude-terra-cotta-1933,disgust
anna-ostroumova-lebedeva_petersburg-rostral-column-and-exchange-1908,sadness
john-french-sloan_sunday-women-drying-their-hair-1912,contentment
el-greco_st-sebastian,fear
carlos-merida_a-hymn-to-the-shulamite-1982,excitement
john-french-sloan_spring-planting-greenwich-village-1913,contentment
john-french-sloan_spring-grammercy-park-1912,contentment
john-french-sloan_wet-night-washington-square-1928,contentment
alfred-sisley_construction-site-at-saint-mammes-1880,contentment
john-french-sloan_the-cot-1907,contentment
john-french-sloan_monument-in-the-plaza-new-york-1949,contentment
henri-edmond-cross_ranelagh,contentment
john-french-sloan_wake-of-the-ferry-1907,excitement
john-french-sloan_rosette-1913,contentment
paul-cezanne_the-farm-of-bellevue,contentment
rembrandt_flora,awe
rembrandt_joseph-s-dream-in-the-stable-in-bethlehem-1645,sadness
alfred-sisley_goose-girl,contentment
antoine-watteau_peaceful-love,awe
albrecht-durer_bath-of-men,disgust
arnold-bã¶cklin_attack-by-pirates,fear
alexandre-benois_ray-embankment-in-basel-in-the-rain(2),contentment
alexandre-benois_pancake-day-in-st-petersburg-fragment-set-design(1),excitement
andy-warhol_double-hamburger,excitement
juan-gris_the-pipe-1916,awe
antoine-watteau_nude-with-right-arm-raised-1718,contentment
eric-fischl_portrait-of-a-couple-steve-and-anne-in-la,sadness
andrã©-lhote_la-plage-1920,contentment
audrey-flack_abstract-force-homage-to-franz-kline-1952,excitement
albrecht-durer_arrest-of-christ,fear
andy-warhol_com,amusement
andrea-mantegna_the-victory-of-virtue,amusement
katsushika-hokusai_a-bowl-of-lip-rouge,fear
arnold-bã¶cklin_the-bagpiper,fear
carlos-botelho_vista-de-lisboa-tejo-e-topo-do-arco-da-rua-augusta,contentment
alexander-orlowski_head-of-a-horse-1821,awe
aleksey-savrasov_evening-landscape-1861,contentment
andy-warhol_christmas-cards-on-table-1987,disgust
armand-guillaumin_paysage-de-la-creuse-printemps,excitement
antoine-watteau_happy-pierrot,amusement
andrea-mantegna_the-virgin-of-victory-the-madonna-and-child-enthroned-with-six-saints-and-adored-by-gian-1496,contentment
correggio_the-assumption-of-the-virgin-detail-1530-2(3),awe
alfred-sisley_by-the-river-loing,contentment
alfred-kubin_caliban-from-the-portfolio-visions-of-shakespeare-shakespeare-visionen-1918,amusement
bela-czobel_vase-on-a-chair-italian-jar-1918,contentment
alfred-sisley_a-cardiff-shipping-lane-1897,contentment
anne-truitt_blythe-1998,amusement
alexandre-benois_letter-l-1904(3),amusement
albrecht-durer_amorous-peasants,contentment
andre-masson_no-name-1(7),excitement
cy-twombly_ferragosto-iii,disgust
anna-ostroumova-lebedeva_venice-1916,excitement
pablo-picasso_jug-and-fruit-dish-1908,contentment
adriaen-van-de-venne_emblem,awe
doug-ohlson_untitled-1999,anger
georges-seurat_river-landscape-with-a-boat-1884,contentment
abdullah-suriosubroto_indonesian-landscape-4,contentment
andy-warhol_apple-1,amusement
giovanni-bellini_sacred-allegory-1500,awe
dan-christensen_troubador-1998,excitement
andy-warhol_apple-1983,contentment
andy-warhol_beatle-boots,excitement
ellsworth-kelly_blue-and-yellow-and-red-orange-1965,excitement
ad-reinhardt_abstract-painting-1966-1,sadness
andrea-del-castagno_deposition-of-christ,awe
felix-vallotton_moonlight-1895,fear
franz-kline_mycenae-1958,excitement
john-miller_yacht-passing-the-terrace,contentment
abraham-manievich_flowers-vase-on-a-hamper,contentment
aldemir-martins_blue-cat,amusement
edward-burne-jones_song-of-love,awe
morris-louis_alphard-1961,contentment
frank-stella_bonne-bay-1971,contentment
franz-kline_orange-outline-1955,anger
paul-signac_the-pine-tree-at-st-tropez-1909,excitement
aldemir-martins_macuna-ma-1982,amusement
jan-sluyters_landscape,excitement
andrea-del-castagno_madonna-and-child-with-saints,contentment
andre-bauchant_animals-crossing-a-flooded-river-with-a-distant-waterfall-1924,awe
aubrey-beardsley_front-cover-1896,amusement
afro_controcanto-1974,amusement
adam-baltatu_birch-trees,awe
ellsworth-kelly_train-landscape-1953,contentment
andrea-del-castagno_piet,awe
alfred-sisley_avenue-of-trees-in-a-small-town-1866,contentment
franz-kline_untitled,contentment
adam-baltatu_house-on-siret-valley,contentment
alfred-sisley_station-at-sevres,contentment
hans-hofmann_rope-swinger-1962,fear
ellsworth-kelly_mandorla-form-1951,fear
adam-baltatu_houses-in-ha-i,contentment
ferdinand-hodler_montanasee-1915,awe
adam-baltatu_houses-in-provence,contentment
fernand-leger_face-by-hand-on-a-red-background,contentment
alma-woodsey-thomas_a-glimpse-of-mars-1969,amusement
andre-bauchant_personnages-et-fleurs-1947,excitement
theo-van-rysselberghe_morning-fog-over-the-port-of-veer-holland-1906,excitement
jackson-pollock_cathedral-1947,fear
